,url,job_title,job_type,work_mode,shift,salary,company_name,company_rating,location,benefits,description,title,level,start_salary,end_salary,salary_type
0,https://www.indeed.com/viewjob?jk=2985660eff366061,Business Analyst,Contract,,,,Smart IMS,3.6,"Baton Rouge, LA",,"Remote

The scope of the proposed services will include the following:

Use Agile methods to analyze and document business functions and requirements.
Consult with management and personnel to identify, define and document business functions, needs and objectives, operational procedures, problems, input and output requirements.
Analyze the integration of business functions with technology.
Perform and/or facilitate business and technical analysis in support of project design and implementation for a team of developers
Identify and document relevant business processes contained in legacy application data systems
Build out and support the management and prioritization of the product backlog. Create user stories based on requirements and capture technical requirements as needed.
Participate in all necessary team meetings and design sessions in accordance with Scrum ceremonies
.

Expertise and/or relevant experience in the following areas are mandatory:

Three (3) years of experience in Business Analysis including eliciting, analyzing, and documenting business functions, processes, and requirements
Two (2) years of experience in Agile methodologies (Scrum, Kanban, etc.), writing user stories, and maintaining a healthy product backlog
Excellent verbal and written communication skills
Experience creating requirements documentation for complex projects
Expertise and/or relevant experience in the following areas are desirable but not mandatory:

Experience setting up IT projects for a team of developers.
Experience prioritizing user stories.
Experience identifying and documenting business processes contained in legacy application data systems
Business Analysis certifications such as PMI-PBA or CBAP
Experience in quality assurance testing of application software
Experience in creating operating procedures, user guides, and/or training material.
Experience with wireframe/mockup applications such as Figma to foster initial design for webapps.",Business Analyst,Unknown,,,
1,https://www.indeed.com/viewjob?jk=7ce50f7d7e761140,Business Analyst II,Full-time,,,,"Regal Cinemas, Inc",3.5,"Knoxville, TN 37920",,"Essential Duties and Responsibilities include the following. Other duties may be assigned.
Collaborate with stakeholders, application development, support staff, and end-users to identify and document business requirements, functional specifications, and budgets for supported systems.
Following the Regal IT Solution Delivery Life Cycle (SDLC) process for assigned projects; preparing SDLC documentation as required.
Create and maintain application documentation including, but not limited to, technical (workflow chart and process diagrams), end-user, FAQ, change/configuration management, disaster recovery, functional requirements, and support.
Coordinate with IT resources and/or outside vendors as assigned in support of the systems.
Participates in industry and other professional networks to ensure awareness of industry standards, trends, and best practices to strengthen value to the organization.
Work independently to support users and under the direction of project/product managers.
Comply with all legislative/statutory obligations and company policies (PCI, ADA, PII, and Sarbanes Oxley, etc.)
Performs other duties as assigned.
Regular and consistent attendance.

Qualifications:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Professional Skills:
Must have good interpersonal and communications skills and interact in a positive, professional manner with stakeholders, business unit users, management, and staff, as well as IT management and staff.
Must be a team player and good collaborator.
Must be organized and able to handle tasks concurrently.
3+ years working with Agile/Scrum delivery teams.
Must be capable of working independently with normal day-to-day guidance.
Must exhibit creativity and innovation in developing system solutions.
Must be proficient in Excel, Word, PowerPoint, Visio, File sharing and collaboration, SharePoint, Gantt charting, Jira, Confluence, and project management tools.
Project management and prioritization experience
Prefer experience supporting financial systems. (i.e., ERP, Microsoft Dynamics AX, SAP, etc.)
General relational database management systems experience and knowledge of SQL, preferably with Microsoft SQL Server.

Education/Experience:
Minimum of four years of experience in Information Technology, preferably in business analysis and support roles. Minimum of a bachelor’s degree or equivalent work experience. Experience working with a defined systems development lifecycle. Experience with technical alternatives and basic knowledge of emerging technologies and trends. Experience is preferred in Theatre Information Technology but not required.

Certificates, Licenses, Registrations:
None

Language Ability:
Must have good reading, writing, and speaking skills to effectively communicate with studios, managers, and co-workers.

Math Ability:
Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals. Ability to compute rate, ratio, and percent, and to develop and interpret charts.

Reasoning Ability:
Perform under pressure and/or opposition at times relying on your own independent judgment and knowledge to decide the best directions and solutions.

Computer Skills:
Working knowledge of hardware/software technologies used within application area, including relational databases, object-oriented tools, and web technologies.

Supervisory Responsibilities:
This position has no direct supervisory responsibilities.

Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.
The noise level in the environment is moderate.

Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.
While performing the duties of this job the employee is frequently required to stand, walk, sit, and use hands to finger, handle, or feel; reach with hands and arms; climb or balance; stoop, kneel, crouch, or crawl and talk or hear. The vision requirements include close vision, distance vision, peripheral vision, depth perception, and the ability to adjust focus. The employee is occasionally required to lift up to 50 pounds.",Business Analyst,Unknown,,,
2,https://www.indeed.com/viewjob?jk=6623a718b703e1c5,Business Analyst,Full-time,,,"$76,000 - $95,000 a year","iHeartMedia, Inc.",3.4,"125 West 55th Street, New York, NY 10019","401(k),Dental insurance,Employee assistance program,Health insurance,Life insurance,Paid holidays,Vision","KATZ Media Group

Current employees and contingent workers click
here
to apply and search by the Job Posting Title.

As the nation’s largest media representation firm, Katz Media Group delivers local relevance at scale. Whether you want one idea that sounds local in a hundred different markets or a hundred unique ideas, we have your solution.
Over our long history, the Katz name has been synonymous with leadership in the media industry. Founded in 1888, Katz was the nation’s first media representation firm. Today, Katz Media Group is comprised of two divisions, Katz Radio Group and Katz Television Group. Collectively, the company represents both the on-air and online assets of more than 4,000 radio stations and 800 television stations, making Katz Media Group the largest media representation company in America. In addition to our deeply rooted media expertise, our unique regional sales structure is key to driving our clients’ success. Katz Media Group is based in New York City, with 15 regional offices across the country, providing advertisers and agencies with local expertise and insights across the nation.
Be a part of the largest media representation company in America. At Katz Media Group, we have the best, brightest and boldest talent in the media industry — individuals who deliver unparalleled value for our business partners and clients. We are looking for people who can grow, think, dream and achieve. Every employee brings inspiration and imagination to our constantly evolving and expanding business. If you’re excited about this role but don’t feel your experience aligns perfectly with the job description, we encourage you to apply anyway. At Katz Media we are dedicated to building a diverse, inclusive, and authentic workplace and are looking for teammates passionate about what we do!

What We Need:
The Business Analyst supports three key areas of operations within the Shared Services department: data management, metrics and management reporting, and process quality control.

What You'll Do:
Data Management
Manages customer financial information in NetSuite
Works closely with the corporate Master Data Management team to align data for internal systems
Reviews MSA agreements to maintain customer data and drive accurate revenue and statistical reporting
Metrics and Management Reporting
Develops and disseminate role-based metrics for Shared Services teams
Develops and disseminate management-level reporting (i.e. customer revenue, team volume trends, etc.)
Process Quality Control
Evaluates team performance
Provides feedback to team members and management
Initiates and drives process improvement
Oversees and ensures delivery of critical, time-sensitive tasks for teams
Scope
Seeking a recognized subject matter expert with the ability to design, develop, and implement new and enhanced analytical/forecasting/metric reporting with minimal oversight from management. The Business Analyst should have proven experience analyzing a diverse scope of problems/issues and determining relevant business solutions. Working with a high degree of autonomy, this role will work closely with management to influence policies, processes, and practices across all Shared Services team.

What You'll Need:
Key Responsibilities
Prepare and present compelling visual metric reporting with an emphasis on details and accuracy for Sales & Senior leadership on a defined cadence
Collaborate with Shared Services ELT to build out metrics and dashboards for teams and management
Effectively present and articulate findings to key stakeholders through oral and written communications
Develop and document procedures to streamline processes and ensure tasks are completed in a timely manner
Identify opportunities to improve business process using analytical results and insights
Develop models that can be used to predict future outcomes based on current trends
Quality control of Shared Services team output
Review and update critical financial data on a regular cadence to ensure accuracy
Work in a team environment to achieve organizational goals
Work with shared services team members on cash, billing & collection (Full AR cycle) goals, providing guidance and following through on system or process issues
Collaborate with the MDM team to ensure alignment of data across all systems
Assist in developing cross-team (Accounting, CIS, Product & Sales) business processes for the effective management of finance master data
Manage monthly reporting requirements by Shared Services team, AP Aging, AR aging, financial reporting, etc. using NetSuite NetClose module
Minimum Qualifications
Bachelor’s Degree or equivalent
5-7 years of applicable experience
Knowledge, Skills, and Abilities
Ability to take initiative without established guidelines and procedures using significant independent judgment
Advanced critical thinking and problem-solving skills
Expert knowledge of Excel analytics; statistical analysis, VLOOKUP, Pivot tables, data modeling, etc.
Advanced planning and organizational skills
Extremely detail oriented and committed to high quality results
Proven experience with metric reporting around employee transactions (volume trends, completion time, etc.)
High degree of comfort with communicating transparent, accurate individual and team metrics
Entrepreneurial, proactive approach
Excellent team building and conflict resolution skills
Excellent written and verbal communication skills
Motivated to succeed and ensure the success of the team
Experience with NetSuite is s PLUS

What You'll Bring:
Compensation:
Salary to be determined by multiple factors including but not limited to relevant experience, knowledge, skills, other job-related qualifications, and alignment with market data.
$76,000 - $95,000

Location:
New York, NY: 125 West 55th Street, 10019

Position Type:
Regular

Time Type:
Full time

Pay Type:
Salaried

Benefits:
iHeartMedia’s benefits offering is flexible and offers a variety of choices to meet the diverse needs of our changing workforce, including the following:
Employer sponsored medical, dental and vision with a variety of coverage options
Company provided and supplemental life insurance
Paid vacation and sick time
Paid company holidays, including a floating holiday that enable our employees to celebrate the holiday of their choosing
A Spirit day to encourage and allow our employees to more easily volunteer in their community
A 401K plan
Employee Assistance Program (EAP) at no cost – services include telephonic counseling sessions, consultation on legal and financial matters, emotional well-being, family and caregiving
A range of additional voluntary programs, such as spending accounts, student loan refinancing, accident insurance and more!

The Company is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity or expression, religion, disability, ethnicity, national origin, marital status, protected veteran status, genetic information, or any other legally protected classification or status.
Non-Compete will be required for certain positions and as allowed by law.
Our organization participates in E-Verify. Click
here
to learn about E-Verify.",Business Analyst,Unknown,76000,95000,year
3,https://www.indeed.com/viewjob?jk=32f1fd2f88bf6b5c,Business Analyst - IT,Full-time,,,,H&E Equipment Services,3.0,"Baton Rouge, LA","401(k) matching,Paid holidays,Paid","Job Title:
Business Analyst - IT
Job Requisition:
R0017933
Job Description:
H&E Rentals is one of the largest integrated equipment companies in the nation that provides the higher standard in equipment sales, rental, parts, and service. With locations across the United States, we pride ourselves on being an equipment company, run by equipment people. We leverage our national portfolio of equipment with a local approach to provide reliability, fair prices and the support of a first-class service team. Where others stop, we continue.
H&E Rentals has an immediate opening for a Business Analyst – IT. The Business Analyst – IT is responsible for project testing and support for assigned IT applications. This entry level role tests, documents, supports end users and participates in the successful deployment and integration on projects. As a remote resource, this team member must be able to collaborate with a scrum team, appropriately manage their time and communicate effectively, all in a virtual setting.
Job Requirements:
Ensures product quality by developing test strategies and executing test scripts.
Applies analytical skills to troubleshoot issues and works effectively to document and/or resolve issues.
Assists project teams on testing, support and implementation
Performs process and system documentation for assigned applications.
Ensures project tasks are delivered on time, adheres to high quality standards and meets business objectives.
Provides tier 2 end user support for all assigned applications.
Performs additional support duties such as, but not limited to: data fixes, granting access, reoccurring maintenance and master data setup.
Communicates effectively and professionally with end-users, management and project teams.
Liaises with business users and project teams to document business processes effectively.
Monitors and supports system integrations, performance and error handling.
Performs other duties as assigned.
Qualifications:
Bachelor’s Degree in Computer Science, Information Systems, Business Administration, or other related field is required. Previous relevant experience in Information Technology related duties may substitute for required degree.
Minimal travel is required.
Searching for a solid, growth-oriented company that values its employees? Join H&E Rentals! We offer competitive wages, excellent benefits, paid holidays, paid time off and a 401K retirement savings plan with company match.
EOE/AA Disabled/Veterans",Business Analyst,Unknown,,,
4,https://www.indeed.com/viewjob?jk=cd2f69ebf0fa48cb,Business Analyst,Full-time,,,"$44,200 - $66,300 a year",Acosta,3.2,"St. Louis, MO 63112",,"DESCRIPTION
As a Premium Business Analyst, you’ll leverage multiple data points for benchmarking, assessing and recognizing key activities and trends that impact our client’s business and transform them into critical market insights.
What’s in it for you?
Join a dynamic team driven by the success of the client.
A comprehensive salary and benefits package.
Support one of the biggest names in the consumer electronics industry.
What will you do?
Leverage existing systems and field data to provide regular reporting and analytics on the state of the business.
Provide in-depth data analysis of strengths/weaknesses in current execution of retail strategies.
Analyze environmental and competitive activity and recommend aggressive strategy tactics to stay viable and grow in the category space.
Serve as a point of influence for the client and effectively communicate performance measurements and impact of initiatives.
Present data to client and all levels of management and gain buy-in based on credibility of analytics.
Manage intelligence requests from a variety of sources with varying timelines.
Synthesize information into actionable recommendations for management and/or clients.
Use statistical analysis of results to identify impact with verification through use of internal and external sources.
Develop Key Performance Indicator (KPI) strategies for field execution and/or account management based on analytics.
Compile data into professional reports that support both findings and recommendations quantitatively and qualitatively.
How will you succeed?
Having comprehensive and clear understanding of retail environments and consumer insights to utilize when recommending effective in-market strategies.
Clearly articulating compelling business insights and actions with data and context.
By delivering sound performance analysis and recommendations.
What experience should you have?
Statistical analysis software (SAS) and data mining software (SPSS) a plus.
High performance proficiency with SQL based data query languages or scripting languages (Python) required.
High proficiency and experience using Sisense, PowerBI, Tableau (or other Business Intelligence tools) required.
Experience in the mobile communications industry a plus.
Bachelor’s Degree required. Master’s Degree highly desirable.
So, are you Premium’s next Business Analyst?
\#WeArePremium
RESPONSIBILITIES
Please refer to the posting description for requirements.
QUALIFICATIONS
Please refer to the posting description for qualifications.
ABOUT US
Acosta, and its subsidiaries, is an Equal Opportunity Employer
Job Category: Administration
Position Type: Full time
Business Unit: Sales
Salary Range: $44,200.00 - $66,300.00
Company: Premium Retail Services, LLC
Req ID: 2346",Business Analyst,Unknown,44200,66300,year
5,https://www.indeed.com/viewjob?jk=07567d4b65420804,Business Analyst,Full-time,,,,Amerisafe,3.7,"2301 Highway 190 W, DeRidder, LA 70634",,"Overview:
AMERISAFE is seeking a detail-oriented, productivity driven professional to add to our “Excellence Team” based in DeRidder, La. The Business Analyst is a non-exempt position that will perform duties and participate in projects in support of the objectives of the Risk and Information Services Department. Such duties will include corporate data analysis and modeling; Enterprise Risk Management program administration; corporate property and casualty insurance administration; reinsurance program administration; operations analysis and other project analysis and decision support. The Business Analyst will evaluate, plan, recommend, and lead or participate in the implementation of complex and time-sensitive initiatives across multiple disciplines of risk management and insurance operations to achieve the department’s objectives.
Qualifications:
BS/BA degree or five years of insurance experience or equivalent combination of training, certifications, and experience
Strong technology skills including especially data retrieval and analysis tools
Knowledge of insurance concepts and insurance operations
Knowledge of risk management concepts, insurance ratings and regulation, and insurance financial concepts
Demonstrated ability to interact with senior management and external service providers and build internal and external business relationships
Excellent written, verbal, and interpersonal communication skills
Demonstrated ability in creative thinking, self-direction, and initiative
Demonstrated ability to thrive in a dynamic and high-pressure environment
Demonstrated interest in continued education and pursuit of knowledge
Excellent organizational and time management skills
Responsibilities:
Perform advanced data analysis of internal and external data sources, NCCI, state and federal government and other industry sources, to identify opportunities and threats to profitability
Analyze key Company performance metrics and develop recommendations based upon that analysis
Perform analysis in support of product filings
Research, test and support implementation of advanced analysis technology including reporting, modeling, visualization, predictive capabilities, in close coordination with IT Department
Research, test, and support implementation of computer systems including ICAMS and Reinsurance as necessary in support of RIS objectives
Analyze Reinsurance programs and results and support program administration including direct interaction with intermediaries
Support selection and administration of corporate insurance programs including direct interaction with agents, carriers, and AMSF staff as necessary
Support administration of the Company’s Enterprise Risk Management program including identification, analysis, control of risks and related documentation
Prepare data, business and risk analyses for internal and external stakeholders as requested by Executive management
Support the VP of Risk Services in departmental functions as necessary",Business Analyst,Unknown,,,
6,https://www.indeed.com/viewjob?jk=a4accc4526fd46b7,Business Analyst (May 2025 Grad; Remote),Full-time,Remote,,"$47,717 - $81,118 a year",ICF,3.4,"Reston, VA 20190",,"Description
We work with purpose. At ICF, when it comes to tackling some of the world’s most complex problems, we’re right in the thick of it all. Partnering with both government and commercial clients, our IT modernization team makes an impact: creating the systems that combat human trafficking, contributing our IT expertise to COVID-19 prevention, creating a data-driven approach for smoking cessation efforts – and more. Our philosophy is simple. IT Transformation is about more than codes and computers. It’s about building a future where technology paves the way for a better world using a human centered approach.
We are seeking individuals who are highly motivated to learn and are career driven. The role is fully remote and can be based anywhere in the U.S., but this individual must work East Coast hours.
As an Associate Business Analyst, you will:
Support requirements gathering through stakeholder interviews, document and artifact analysis, code and database reviews, and participate in team and workshop sessions.
Create and write various high-quality technical and non-technical deliverables such as reports, dashboards, and agendas to support the meetings, requirements, and development processes as well as assist with security documentation.
Communicate and collaborate proactively with external and internal clients to analyze functional and technical needs, deliver functional and business requirements, create user stories, and groom development tasks for developers.
Provide support to Technical and QA teams to provide guidance and clarifications regarding requirement questions.
Gain thorough understanding of client and business needs to provide consultative insights and fill role of business partner.
Learn all aspects of digital projects and build rapport with engineers, experience, product and project team members in an agile framework.
Take initiative to learn the system, build relationships, own and drive your work.
Basic Qualifications:
A completed bachelor’s degree by Summer 2025 in MIS, Engineering, Computer Science, Business, Mathematics, Public Health, English or other related field.
Preferred Skills and Experience:
Excellent presentation and communication skills.
Technical aptitude and curiosity.
Be open to obtaining Public Trust clearance if required.
Ability to work well with a wide range of individuals and problem solve technical issues.
Capability of clearly communicating complex system issues to technical and non-technical personnel and users.
Strong oral and written communication skills.
Experience working with Agile methodology of software development.
An understanding of general programming concepts as well as object-oriented programming fundamentals, API, web development and web services.
Familiarity with architectural concepts such as cloud computing.
Familiarity with databases such as SQL and with UML modeling and process flow development.
An understanding of full software development life cycles and process improvement methodologies.
Working at ICF
ICF is a global advisory and technology services provider, but we’re not your typical consultants. We combine unmatched expertise with cutting-edge technology to help clients solve their most complex challenges, navigate change, and shape the future.
We can only solve the world's toughest challenges by building an inclusive workplace that allows everyone to thrive. We are an equal opportunity employer, committed to hiring regardless of any protected characteristic, such as race, ethnicity, national origin, color, sex, gender identity/expression, sexual orientation, religion, age, disability status, or military/veteran status. Together, our employees are empowered to share their expertise and collaborate with others to achieve personal and professional goals. For more information, please read our EEO & AA policy.
Reasonable Accommodations are available, including, but not limited to, for disabled veterans, individuals with disabilities, and individuals with sincerely held religious beliefs, in all phases of the application and employment process. To request an accommodation please email Candidateaccommodation@icf.com and we will be happy to assist. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. Read more here: Requesting an Accommodation for the ICF interview process.
Read more about workplace discrimination rights, the Pay Transparency Statement, or our benefit offerings which are included in the Transparency in (Benefits) Coverage Act.

Pay Range - There are multiple factors that are considered in determining final pay for a position, including, but not limited to, relevant work experience, skills, certifications and competencies that align to the specified role, geographic location, education and certifications as well as contract provisions regarding labor categories that are specific to the position.
The pay range for this position based on full-time employment is:
$47,717.00 - $81,118.00
Nationwide Remote Office (US99)",Business Analyst,Unknown,47717,81118,year
8,https://www.indeed.com/viewjob?jk=d940ea3827b03f2e,Business Analyst,Full-time,,,,University of Florida,4.2,"341 Tigert Hall 300 SW 13th St, Gainesville, FL 32611",,"Business Analysis and Collaboration
Facilitate cross-functional project teams to ensure the successful implementation of technology solutions by defining and clarifying business requirements. Collaborate closely with project managers to ensure project scope aligns with business objectives and stakeholder needs. Serve as a key facilitator between business units and IT, ensuring clear communication and understanding across all stakeholders. Participate in project planning, monitoring, and evaluation, providing critical analysis and documentation to support project success. Assist in establishing governance structures tailored to the needs of each project or program.
Technology Solution Design and Implementation
Work closely with unit leadership and IT teams to translate business requirements into functional specifications that guide the design and implementation of scalable and sustainable technology solutions. Ensure that solutions integrate effectively with existing systems and align with overall business strategy. Engage in system testing and validation to ensure that implemented solutions meet the documented business requirements and provide ongoing support for system enhancements.
Business Process Improvement and Change Management
Conduct thorough analyses of existing business processes and systems to identify areas for improvement. Develop recommendations to enhance workflows, systems, and overall efficiency. Lead efforts in change management to ensure smooth transitions when implementing new systems or processes, engaging stakeholders throughout the process to manage expectations and minimize disruptions. Provide ongoing support to ensure successful adoption of changes and monitor the impact of improvements on business operations.
Other Duties
Perform other duties as assigned, contributing to the overall success of the team and organization as needed.


Expected Salary:
Salary commensurate with experience and expertise.


Minimum Requirements:
Bachelor's degree in an appropriate area and two years of relevant experience; or a high school diploma or equivalent and six years of experience. Appropriate college coursework or vocational/technical training may substitute at an equivalent rate for the required experience.


Preferred Qualifications:
Master's degree in Information Systems, Data Science, Computer Science, Information Technology, Economics, Information Systems, Mathematics, Educational Technology, Industrial Engineering, Operations Management, or Business Administration.
Experience using project management software such as Microsoft Project, Atlassian’s Jira and Confluence, or Basecamp.
Knowledge of data visualization and framework tools such as Visio, Lucidchart, Canva, Illustrator, Google Draw, or Figma.
Experience with public speaking and presenting in front of key stakeholders.
Experience with customer service practices.
Maintains knowledge of industry best practices for project/portfolio management.

Special Instructions to Applicants:
In order to be considered, applicants must provide a cover letter, resume, and a list of professional references.
A criminal background check is required.
Application must be submitted by 11:55 p.m. (ET) of the posting end date.


Health Assessment Required:
No",Business Analyst,Unknown,,,
9,https://www.indeed.com/viewjob?jk=d2fe7dadbad3cba1,"Business Analyst, Early Careers Operations and Enablement",,,,,BNY Mellon,3.5,"500 Grant St, Pittsburgh, PA 15219",,"Overview
BUSINESS ANALYST, EARLY CAREERS OPERATIONS AND ENABLEMENT
At BNY, our culture empowers you to grow and succeed. As a leading global financial services company at the center of the world’s financial system we touch nearly 20% of the world’s investible assets. Every day around the globe, our 50,000+ employees bring the power of their perspective to the table to create solutions with our clients that benefit businesses, communities and people everywhere.
We continue to be a leader in the industry, awarded as a top home for innovators and for creating an inclusive workplace. Through our unique ideas and talents, together we help make money work for the world. This is what #LifeAtBNY is all about.
We're seeking a future team member for the role of Business Analyst, Early Careers Operations and Enablement, to join our Early Careers team. This role is located in Pittsburgh, PA - HYBRID.

In this role, you’ll make an impact in the following ways:
Responsible for supporting the operational and enablement activities of our early careers programs. You will work closely with various departments to ensure the smooth execution of initiatives aimed at attracting, developing, and retaining top talent.
Required to have a data-driven approach in supporting the Early Careers team.
Program Coordination: Assist in the planning, coordination, and execution of early careers programs, including internships, apprenticeships, and graduate schemes.
Onboarding: Facilitate the onboarding process for new hires, ensuring a seamless transition into the company.
Sourcing: Source Top talent from Schools, conferences, Resume Books, etc.
Data Management: Maintain accurate records and data related to early careers programs, including tracking participant progress and program outcomes.
Communication: Serve as a point of contact for early career employees, providing guidance and support as needed.
Continuous Improvement: Identify opportunities for process improvements and contribute to the development of best practices for early careers operations.
Growth mindset and ability to adapt to changing dynamics as needed to support the overall needs of the business

To be successful in this role, we’re seeking the following:
Bachelor’s degree with 1-2 years of campus sourcing experience.
Solid project management, excel and reporting skills (data tracking skills).
Ability to utilize campus sourcing tools, assessment tools.
Understanding of different skill sets and the ability to utilize the right tools to source them
Excellent communication skills.
Experience in managing high volume candidate pool
Collaboration with team to manage an efficient model of operation.
Solid project management, excel and reporting skills (data tracking skills).
Ability to utilize the campus EVP while interacting with candidates.
At BNY, our culture speaks for itself. Here’s a few of our awards:
America’s Most Innovative Companies, Fortune, 2024
World’s Most Admired Companies, Fortune 2024
Human Rights Campaign Foundation, Corporate Equality Index, 100% score, 2023-2024
Best Places to Work for Disability Inclusion , Disability: IN – 100% score, 2023-2024
“Most Just Companies”, Just Capital and CNBC, 2024
Dow Jones Sustainability Indices, Top performing company for Sustainability, 2024
Bloomberg’s Gender Equality Index (GEI), 2023

Our Benefits and Rewards:
BNY offers highly competitive compensation, benefits, and wellbeing programs rooted in a strong culture of excellence and our pay-for-performance philosophy. We provide access to flexible global resources and tools for your life’s journey. Focus on your health, foster your personal resilience, and reach your financial goals as a valued member of our team, along with generous paid leaves, including paid volunteer time, that can support you and your family through moments that matter.
BNY is an Equal Employment Opportunity/Affirmative Action Employer - Underrepresented racial and ethnic groups/Females/Individuals with Disabilities/Protected Veterans.

Employer Description:
For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments and safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.

EEO Statement:
BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals With Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.",Business Analyst,Unknown,,,
10,https://www.indeed.com/viewjob?jk=b611072ea6d640d3,Business analyst,Contract,,,,Intone Networks,4.1,Pennsylvania,,"Client is planning on building the healthcare data solution business and the hospital network in Pittsburgh. This project, Hiring Manager is considering solution development with supporting DMP ( Data Management Platform) development on the hospital system. The role is to assist in planning on developing the system to optimize the health insurance fees. We're looking for a consultant who can support this project with his/her extensive experiences and knowledge.",Business Analyst,Unknown,,,
