url,job_title,job_type,work_mode,shift,salary,company_name,company_rating,location,benefits,description,title,level,start_salary,end_salary,salary_type
https://www.indeed.com/viewjob?jk=14181eb42ac6e1e7,Executive & Team HR Assistant,,,,"$65,000 - $85,000 a year",Dior,4.0,United States,,"Position
The Executive & Team HR Assistant at Parfums Christian Dior (PCD) will serve a dual function of providing high-level administrative support to Senior Vice President (SVP) and assisting with the Human Resources operations for PCD North America. This role is designed for an individual with a keen interest in executive assistance as well as Human Resources management, offering a unique opportunity for professional growth in both domains.
Job responsibilities
Executive Support
Provide comprehensive administrative support to SVP, including but not limited to managing calendars, coordinating meetings, arranging travel itineraries, and handling confidential communications.
Prepare reports, presentations, and data analysis as requested by the SVP to assist with decision-making processes.
Act as a point of contact between SVP and internal/external stakeholders.
Onboarding/Offboarding
Facilitate a seamless onboarding process for new hires by coordinating orientation schedules, assembling welcome kits, ensuring IT setup is complete, and liaising with cross-functional teams.
Streamline offboarding procedures by conducting exit interviews, overseeing return of company property, completing documentation accurately and timely.
HR Coordination
Assist with the execution of key HR initiatives such as DIOR Organization Management Review (OMR), Performance Review process (RISE), Engagement Survey preparation and follow-up actions.
Contribute to maintaining accurate employee records and organizational charts while ensuring compliance with data protection regulations.
Handle routine inquiries from employees regarding HR policies or issues discreetly and efficiently.
Partner with law firm to complete the visa application process for employees, ensuring accurate completion of all necessary paperwork, timely submission and consistent communication throughout the process.
Training Administration
Coordinate logistics for various training programs withing PCD and with LVMH including venue bookings, participant communication, material preparation while monitoring participation rates.
Employee Relations
Serve as an approachable point of contact for general employee queries relating to HR matters—providing guidance or escalating concerns appropriately.
LVMH & PCD VALUES Integration
Champion LVMH's core values through daily work practices; embody creativity & innovation while fostering an entrepreneurial spirit that strives for excellence.
Embody PCD values by promoting an inclusive workplace culture where diversity is celebrated and every team member feels valued.
Profile
To be successful in this role you will need:
Proven experience in an administrative capacity with exposure to executive-level support tasks preferred.
Strong foundation in Human Resources principles; additional certifications or coursework in HR considered a plus.
Advanced proficiency in Microsoft Office Suite (Excel, Word PowerPoint) along with familiarity using HRIS systems.
Additional information
LVMH Inc. uses the published salary range as a guideline to provide our employees with market competitive pay while allowing for flexibility to recognize and reward various levels of expertise, performance and tenure.
While the published salary range is a good faith reflection of the targeted salary level for the position, LVMH Inc. reserves the right to pay outside of the published salary range of $65k-$85k.
This job description is intended to cover the core accountabilities of the position and is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee. Duties, responsibilities, and activities may change, or new ones may be assigned at any time with or without notice.
All your information will be kept confidential according to EEO guidelines.",HR Assistant,Unknown,65000,85000,year
https://www.indeed.com/viewjob?jk=9961fe2556ea2d3c,HR Assistant - Full Time,Full-time,,Day shift Monday to Friday,$18.56 - $21.17 an hour,Northern Montana Hospital,4.0,"30 13th Street, Havre, MT 59501","403(b),Dental insurance,Health saving","This position reports directly to the Director of Human Resources and is part of the Employee Services Department. The HR Assistant will play a crucial role in supporting the HR department by performing a variety of administrative and HR duties. This position requires the ability to multi-task and work in a fast-paced office setting. Requires experience in Microsoft Office, Excel, Power Point; the ability to handle sensitive information with confidentiality; public speaking; ability to work with people; good customer service skills; able to make sound decisions and follow detailed written and verbal instructions. Office is open 8:00 AM to 5:00 PM, Monday-Friday.

REQUIREMENTS:
1) High School graduate. Previous experience in hospital or office procedures or two years college in business preferred.
2) Keyboard skills, knowledge of general office practices.
3) Basic knowledge of Microsoft Office Suite.
4) Desire to work with people of all age groups.
5) Able to make decisions and follow detailed written and verbal instruction.
6) Able to successfully pass background check and drug screen.
7) MUST be okay with Public Speaking in front of small and large groups.

Health, dental, life, and FLEX/HSA benefits available with 403-b option.

Salary is commensurate with up to 10 years of experience.

The above information on this description has been designed to indicate the general nature and level of work performed by employees in this position. It is not designed to contain or be interpreted as an exhaustive list of all responsibilities, duties and qualifications required of employees assigned to this job.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Additional Information
Position Type : Full Time
Shift : Day
Hourly Wage: $18.56 - $21.17 per/hour
Ref Code: 2024-190
Contact Information
Employee Services
Employee Services
30 13th St
Havre, MT 59501
Email: nmhcempls@nmhcare.org
Phone: (406)262-1403
Fax: (406)262-1611",HR Assistant,Unknown,18.56,21.17,hour
https://www.indeed.com/viewjob?jk=c987223809ecb174,HR Assistant,Full-time,,,$20 an hour,PGA WEST & The Citrus Club,,"55955 Pga Blvd, La Quinta, CA 92253",,"HR Assistant
Position Description

POSITION SUMMARY
The Human Resource Assistant will report directly to the Human Resources Manager and will provide confidential administrative support to the Human Resource Department to include Employee Relations, Benefits and Payroll. This individual uses high level administrative skills with finesse and diplomacy to support our employee customers, vendors and other departments throughout the organization with services, policies, and programs.
EXPERIENCE, EDUCATION AND COMPETENCIES REQUIRED
Bachelors degree in Human Resources preferred.
Minimum 3 years business experience preferably within the Human Resource department of a multi site organization.
Intermediate level of proficiency with Microsoft Word, Excel & Powerpoint.
Problem Solving – identifies and resolves problems in a timely manner and gathers and analyzes information skillfully.
Interpersonal skills – maintains confidentiality, remains open to others’ ideas and exhibits willingness to try new things.
Oral communication – speaks clearly and persuasively in positive or negative situations and demonstrates group presentation skills.
Written communication – edits work for spelling and grammar, presents numerical data effectively and is able to read and interpret written information.
Planning/organizing – prioritizes and plans work activities, uses time efficiently and develops realistic action plans.
Quality control – demonstrates accuracy and thoroughness and monitors own work to ensure quality.
Adaptability – adapts to changes in the work environment, manages competing demands and is able to deal with frequent change, delays or unexpected events.
Dependability – consistently at work and on time, follows instructions, responds to management direction and solicits feedback to improve performance.
Team player with enthusiasm, positive outlook and professional demeanor who takes both initiative and direction well.
Working knowledge of employee benefit programs and payroll processing.
A strong work ethic with the ability to maintain confidentiality in all matters is a must.
Ability to interact with all levels of management and to work under pressure.
Bi-lingual in Spanish
ESSENTIAL RESPONSIBILITIES
Provide project management support to the Vice President of Human Resources, Payroll Manager and Benefits Manager.
Provide general administrative support such as preparing/composing correspondence, forms and reports, and processing confidential reports and documents.
Perform customer service functions by answering employee requests and questions.
Administer all pre-employment tests, background checks, drug test set ups and result communications
Research and prepare responses to all unemployment claims.
Assist with research and responses to Department of Labor and Equal Employment Opportunity Commission claims.
Assist with scheduling meetings and sorting department mail and faxes.
Make photocopies, fax documents, file papers and documents into appropriate employee files and other clerical functions as requested.
Coordinate annual performance review process to ensure reviews are done timely.
Assist in the administration and coordination of various benefit plans.
Assist with the tracking of departmental and company measurements that support the accomplishment of the company’s strategic goals. This includes monthly audits and tracking of various certificates and licenses.
Participates in development of department goals, objectives, and systems.
Review employment related bills (advertising, testing, background checks) for accuracy and proper accounting to appropriate entities.
Manage the flow of resumes with a first review before routing a copy to the appropriate hiring manager. Maintain a filing system of applications for one year.
Prepares offer letters and new hire packets as needed.
Is trained in and regularly participates in backing up of payroll and benefits.
Participates in NGCOA salary survey every other year.
Prepare and distribute corporate calendar each month.
Prepare, review, interpret, analyze and approve a variety of data, information and reports, and make recommendations depending on findings.
Orders flowers and cards for employees for events such as illness, death in family, birth, etc.
Assist with the day to day efficient operation of the Human Resource Department.
Assume other duties as assigned by the VP of HR, Payroll Manager or Benefits Manager.
PHYSICAL AND MENTAL DEMANDS
Must be able to convey information and ideas clearly.
Must be able to evaluate and select among alternative courses of action quickly and accurately.
Must work well in stressful, high-pressure situations.
Must maintain composure and objectivity under pressure.
Must be effective in listening to, understanding and resolving the concerns and issues brought forward by guests, coworkers and team members.",HR Assistant,Unknown,20,20,hour
https://www.indeed.com/viewjob?jk=21682526f4afd253,HR Assistant,Full-time,,,,Georgia Gwinnett College,4.1,"1000 University Center Lane, Lawrenceville, GA 30043",,"Job ID
277346
Location
Georgia Gwinnett College
Full/Part Time
Full-Time
Regular/Temporary
Regular

About Us

Since our founding in 2005, Georgia Gwinnett College (GGC) has been dedicated to providing an exceptional educational experience to our students. At GGC, we believe that our students' success is our success, and we are committed to creating a culture that supports and uplifts them throughout their academic journey.
As a member of our faculty or staff, you will become part of a dedicated and passionate community of educators and professionals. Together, we work towards a common goal of empowering our students to achieve their full potential, both academically and personally. We take pride in our student body, which represents a multitude of backgrounds, perspectives, and experiences. Whether you are involved in teaching or providing essential services, your contribution will make a significant impact on the lives of our students and the broader community.
In addition to our commitment to student success, we also value the well-being and professional growth of our employees. We offer a comprehensive benefits package, designed to support the needs of our faculty and staff. From competitive compensation to health and wellness programs, and professional development opportunities to work-life balance initiatives, we strive to create an environment where everyone can thrive and feel valued.
Located in the thriving community of Gwinnett County, GGC offers a rich cultural and social landscape that enhances the overall college experience. Our backdrop is a beautiful, modern 260-acre campus located just 30 miles northeast of downtown Atlanta. Our students and employees benefit from the close proximity to various local amenities, including shopping, dining, entertainment, and outdoor recreational opportunities. This vibrant community serves as an extension of our campus, providing a stimulating environment for personal and professional growth.
Join GGC and become part of a dynamic team that plays a pivotal role in shaping the lives and celebrating the achievements of our students. Together, let's make a positive impact and empower the next generation of leaders.
Job Summary

Under the direction of the Director of Human Resources and Employee Engagement, the HR Administrative Assistant provides administrative support to the Human Resources department to ensure effective and efficient service to the campus community. Serving as the first point of contact for Human Resources, this position plays a key role in establishing a welcoming environment that supports excellent service for our students, staff, faculty, and community at large.

Responsibilities for the HR Administrative Assistant include performing administrative support tasks, answering calls, monitoring the HR email account providing responses to inquiries, and greeting visitors in the lobby.




This position requires a wide spectrum of various administrative support ranging from, but not limited to, projects, filing, compliance review, events, scheduling, and correspondence. The HR Administrative Assistant frequently handles sensitive and/or highly confidential materials requiring complete discretion.
Responsibilities

1 -
Provides front office coverage by receiving visitors including greeting, directing, and announcing them for their appropriate HR contact; serves as a liaison for HR with all initial inquiries, ensuring smooth communication and prompt resolution of requests and questions including follow-up where needed; answers, screens, and directs telephone calls, providing information or referrals.

2 -
Manages the HR@ggc.edu email portal including initial tier-one level responses and escalating or forwarding inquiries to appropriate HR staff.

3 -
Welcomes new GGC staff and assists with documentation related to new hires.

4 -
Serves as the initial point of contact for ePerformance inquiries.

5 -
Provides administrative assistance with ePerformance by creating, transferring, and deleting performance evaluations.

6 -
Provides administrative assistance with Grizzly learning by assigning compliance training to new employee.

7 -
Provides support with events, such as Top Claw Awards, Service Awards, etc.

8 -
Performs other duties as assigned.
Required Qualifications

High School Diploma or GED
Two to three years of office experience
Preferred Qualifications

Experience in a college or university Human Resources office
Knowledge, Skills, & Abilities

Skills and proficiency in data entry
Skills in verbal and written communication with the ability to communicate with all levels of the organization
Skills in time management with the ability to multi-task and prioritize to meet deadlines
Knowledge of MS Office, including Excel and Word
Ability to work in a fast-paced environment
Ability to perform duties in an independent fashion
USG Core Values

The University System of Georgia is comprised of our 26 institutions of higher education and learning as well as the System Office. Our USG Statement of Core Values are Integrity, Excellence, Accountability, and Respect. These values serve as the foundation for all that we do as an organization, and each USG community member is responsible for demonstrating and upholding these standards. More details on the USG Statement of Core Values and Code of Conduct are available in USG Board Policy 8.2.18.1.2 and can be found on-line at https://www.usg.edu/policymanual/section8/C224/#p8.2.18_personnel_conduct.
Additionally, USG supports Freedom of Expression as stated in Board Policy 6.5 Freedom of Expression and Academic Freedom found on-line at https://www.usg.edu/policymanual/section6/C2653.
Conditions of Employment

Hiring is contingent upon eligibility to work in the United States and proof of eligibility will be contemporaneously required upon acceptance of an employment offer. Offers of employment are contingent upon completion of a background investigation including a criminal background check demonstrating your eligibility for employment with Georgia Gwinnett College (GGC). Eligibility of employment is determined by GGC in its sole discretion and includes but is not limited to confirmation of credentials and employment history reflected in your application materials; and, if applicable, a satisfactory credit check. Applicants may be subject to a pre-employment drug test.
Offers are subject to the applicable federal laws, state laws, statutes, rules, and regulations of this institution, and to the bylaws and policies of the Board of Regents (BOR) of the University System of Georgia (USG), which are available for your inspection upon request.
Equal Employment Opportunity

Georgia Gwinnett College is an equal employment, equal access, equal educational opportunity, and affirmative action institution. GGC does not discriminate on the basis of race, color, creed, age, religion, national or ethnic origin, sexual orientation, gender identity or expression, sex (including pregnancy or childbirth), veteran status or military status, genetic information, or disability in employment or admission or access to its programs and activities, as required by Title IX. Inquiries including anyone who feels they have been discriminated against should contact the Office of Equal Opportunity and Title IX compliance and direct concerns to the GGC Title IX Coordinator, Building B, Suite 3700, titleix@ggc.edu or (678) 407-5085.

For individuals requiring disability-related accommodations for participation in any event including the application, interview process, or to obtain print materials in an alternative format, please contact HR Payroll and Benefits at (678) 407.5054 or email benefits@ggc.edu.
Background Check

Position of Trust
Other Information

Due to the volume of applications, applicants may not receive a reply from the College unless an applicant is selected for an interview. Review of applications will continue until positions are filled. Georgia is an open records state.",HR Assistant,Unknown,,,
https://www.indeed.com/viewjob?jk=0148f0792743d54c,HR Assistant,Full-time,,,,SK Battery America,2.5,Georgia,,"About SK Battery America (SKBA)
As the flagship entity of SK On and a leader in the electric vehicle (EV) battery manufacturing sector, SKBA is at the forefront of advancing high nickel technology. With an impressive revenue of $2 billion and dedicated team of over 3,000 employees, we provide high-energy density battery cells to top automotive brands like Ford, Volkswagen, and Hyundai Motors. SKBA's North American expansion is marked by strategic joint partnerships with industry giants such as Ford and Hyundai, underscoring our commitment to the evolving EV landscape.
HR Assistant
Role and Responsibilities
HRIS Management
Manage HRIS data entry for current and former employees
General Administration
Collaborate with multiple internal departments within HR.
Perform special projects as assigned by the HR Manager
Handle sensitive and/or confidential employee information; and provide excellent customer service to all employees.
Act as a first point of contact for any HR-related inquiries
Employee Communication
Prepare and distribute HR information to employees
Answer questions from employees and managers regarding benefits, HRIS, employee handbook, etc.
Other HR-related tasks as assigned
Qualifications:
2-year college degree or above (or equivalent combination of education and experience)
At least 1-3 years of relevant experience
Advanced proficiency in Microsoft Office products
(Preferred) Familiarity with Workday HRIS",HR Assistant,Unknown,,,
https://www.indeed.com/viewjob?jk=bacffa6a5b914f2d,HR Assistant,Full-time,,,,"Rex Lumber, Troy, LLC",,"1946 County Road 7714, Troy, AL 36081","Dental insurance,Employee assistance program,Health insurance,Life insurance,Paid holidays,Paid time off,Prescription drug insurance","HR Assistant
SUMMARY OF FUNCTIONS
Assist with all aspects of Human Resources. The Human Resources Assistant will be responsible for applicant processing, and general clerical duties related to Human Resources. The goal is to maintain efficiently the process of screening applicants, scheduling 2nd round interviews, assisting employees with questions, follow up with supervisors and employees on training, maintain accurate records, assist with orientation of new employees, assist with payroll, and coordinate all company functions with the assistance of management.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Assist with staffing with direction from supervisors and management
Process payroll weekly and distribute checks
Make sure all Time-Off requests/Vacation/PTO is entered each week for payroll process
Assist in processing and maintaining all applications; following the laws regarding this procedure
Disburse health insurance letters to newly eligible employees
Process new hires in ADP
Assist with processing new Workers’ Compensation claims and inform Safety Director immediately of accident
Maintain employee files in accordance with applicable laws
Maintain employee records on absentee, years of service, accident record, etc. for awards.
Organize service/safety awards annually and any other company function
Coordinate performance evaluations at an employee’s 3rd month and annually
Assist supervisors and management with orientation of new employees
Assist with Drug Testing (Random and New Hire)
Assist employees with questions on company policies, payroll, benefits and safety
Track all employee Vacation/PTO
Assist with exit interviews and ensure corporate office receives termination information in a timely manner – this will prevent loss of company funds (recouping loans, tools, etc.)
Make sure Turnover Rate Report is current each week
All other duties assigned by supervisor
ADDITIONAL DUTIES
Attend meetings
Answer telephones as needed
Assist in other office areas as needed
Must be cross-trained on all office functions, including HR, scales and sales
Assist any manager or supervisors with projects as needed
ORGANIZATIONAL RELATIONSHIPS
Report directly to Human Resources Manager
QUALIFICATIONS
Computer literate (including MS Word, MS Excel)
Typing, data entry
Good communication skills
Good organizational skills
Ability to work well with others
SAFETY
Follow all office safety regulations
When in one of the mills:
Follow all area/machine center specific safety regulations
Wear all required personal protective equipment: hardhat, safety glasses, hearing protection, etc…as required
Do not enter restricted areas
Report immediately to supervisor any piece of equipment that is unsafe or functioning improperly
Request assistance when a task exceeds individual knowledge
Visually inspect equipment and area before starting/operating
Whenever possible, eliminate unsafe conditions as soon as possible
Use Standard Lockout Procedures when appropriate for machine centers
Use proper lifting technique by pushing, pulling and lifting with your legs and not your back
Never approach a saw while it is still running
Follow all other safety regulations as set forth by the company
COMPANY BENEFITS
We offer outstanding benefits that includes
Company Paid Health Insurance
Prescription Drug Insurance
Dental and Vison Insurance
Telemedicine Program through Teladoc
Wellness Incentives
Paid Time Off
7 Paid Holidays
Term Life Insurance, Accidental Death Insurance, Critical Care Insurance
Employee Assistance Program
Strive Rewards Program
Employee Referral Program
Safety Incentives
Uniform Rental
Boot Loans",HR Assistant,Unknown,,,
https://www.indeed.com/viewjob?jk=78f5e486beb4dfae,HR Assistant to the Chief Human Resources Officer,,,,"$53,000 - $55,000 a year",University at Albany,4.2,"Albany, NY",,"Location: Albany, NY Category: Professional Posted On: Fri Sep 20 2024 Job Description:

Serves as the confidential human resources assistant to the Chief Human Resources Officer (CHRO) and performs a variety of administrative and professional activities supporting the human resources leadership team (HRLT) and their respective areas of Benefits and Engagement, Employee Relations and Organizational Development, HR Operations and Payroll, and Workforce Planning.
Administrative Support 85% of time:
Maintains and coordinates CHRO's appointment calendar, processes travel and meeting arrangements for the CHRO/HRLT; coordinates and prioritizes workflow to support the CHRO /HRLT. May attend meetings in the absence of the CHRO.
Composes and constructs meeting agendas independently for CHRO and HRLT; determines and anticipates agenda items; reports and communicates information verbally, in writing and electronically where judgment, knowledge and interpretation of policies and regulations may be necessary.
Coordinates logistical matters related to employee discipline and interactive process with other employee relations staff and CHRO.
Administratively supports the CHRO and HRLT including confidential data/research requests, notetaking during employee relations or discrimination complaint meetings, and other confidential personnel matters.
Reviews documents, records, and correspondence for accuracy, completeness, and compliance to applicable rules, regulations, policies, administrative procedures, and bargaining unit requirements.
Prepares, monitors, and manages the budget for the Office of Human Resources, review reports, maintain records of expenditures, and recommend budget adjustments.
Tracks and ensures timely processing and reconciliation of all HR related contracts for services.
Processes, tracks and reconciles office travel.
Manages the flow of electronic, paper, and verbal information and communications with proficiency, exercising independent judgment and maintaining confidentiality.
Exercises independent judgment concerning matters requiring the CHRO/HRLT attention to assure timely action.
As assigned, responsible for the accurate and timely processing of position and employment/affiliate related transactions in the appropriate Human Resources Information Systems including SUNY HR, PayServ, NYSTEP, and UAlbany's IAS.
Responsible for generating, reviewing, and issuing employment related correspondence and tracking on behalf of the CHRO.
Develop and maintain electronic forms and workflows using JotForm.
Other reasonable duties as assigned.
Office management 15% of time:
Assigned UAlbany procurement card and responsible for procuring and maintaining inventory of supplies and equipment for the office. Purchases items as needed by HRLT.
Manage office computer and equipment assignments.
Maintains website updates.
Functional and Supervisory Relationships:
Reports directly to the CHRO and functionally reports to each member (4) of the HRLT.
Serves as a member of the HRLT and administratively supports them as needed.
Works closely with the HR operations staff
Job Requirements:
Ability to demonstrate understanding and appreciation of diversity, equity, and inclusion in the workplace.
Ability to use discretion and maintain confidentiality.
Excellent time management skills.
Strong technological aptitude.
Strong verbal and written communication skills.
Strong organizational skills and ability to multitask.
Ability to work independently and take initiative.
Strong understanding of and ability to interpret and apply various HR laws, rules, regulations, bargaining agreements, and policy.
Demonstrated flexibility in meeting operational needs of the University; able to work additional hours as needed to meet deadlines or in response to emergency situations.

Job Requirements:

Minimum Qualifications:
Bachelor's degree from a nationally accredited college or university plus one-year administrative support experience, or an associate's degree plus three 3 years of progressively responsible administrative or related experience
Demonstrated experience communicating with constituents at various levels of an organization.
Demonstrated experience in the interpretation and application of rules, regulations, or policy.
Applicants must demonstrate an ability to develop inclusive and equitable relationships within our diverse campus community.
Applicants must demonstrate an ability to support diversity, equity, access, inclusion, and belonging relative to their role
Preferred Qualifications:
Experience in human resources
Experience in higher education or NYS public employment
Licensed as a NYS Notary

Additional Information:

Professional Rank and Salary Range: Assistant to Director, MP, $53,000-$55,000
Special Notes: Visa sponsorship is not available for this position. If you currently need sponsorship or will need it in the future to maintain employment authorization, you do not meet eligibility requirements.
The Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act, or Clery Act, mandates that all Title IV institutions, without exception, prepare, publish, and distribute an Annual Security Report. This report consists of two basic parts: disclosure of the University's crime statistics for the past three years; and disclosures regarding the University's current campus security policies. The University at Albany's Annual Security Report is available in portable document format [PDF] by clicking this link http://police.albany.edu/ASR.shtml
Pursuant to NYS Labor Law 194-A, no State entity, as defined by the Law, is permitted to rely on, orally or in writing seek, request, or require in any form, that an applicant for employment provide his or her current wage, or salary history as a condition to be interviewed, or as a condition of continuing to be considered for an offer of employment, until such time as the applicant is extended a conditional offer of employment with compensation, and for the purpose of verifying information, may such requests be made. If such information has been requested from you before such time, please contact the Governor's Office of Employee Relations at (518) 474-6988 or via email at info@goer.ny.gov.

THE UNIVERSITY AT ALBANY IS AN EO/AA/IRCA/ADA EMPLOYER
Please apply online via http://albany.interviewexchange.com/candapply.jsp?JOBID=181306",HR Assistant,Unknown,53000,55000,year
https://www.indeed.com/viewjob?jk=b290e24261301782,HR Assistant II,Full-time,,,$20.19 - $25.00 an hour,Kirkpatrick Bank,4.0,"1001 West Wilshire Boulevard, Oklahoma City, OK 73116",Vision,"Position Summary: The HR Assistant II will primarily be responsible for assisting the Human Resources department in all recruiting, onboarding/offboarding tasks, and benefits administration and education. This position will also assist in various HR projects, respond to employee questions, create reports, assist with engagement activities, and other HR tasks as needed.
Supervisory Responsibilities:
None
Essential Job Functions and Responsibilities:
Source, screen, and interview candidates for various positions.
Collaborate with hiring managers to understand staffing needs and requirements.
Post job openings on various job boards and social media platforms.
Collaborate with hiring manager and/or Human Resources Director during the offer process, identifying and recommending salary ranges, incentives, start dates and other pertinent details.
Maintain and manage the applicant tracking system (ATS).
Oversee pre-employment process and onboarding of new employees.
Coordinate schedule of the training room and all related new hire trainings.
Perform all administrative off-boarding procedures for terminating employees.
Assist employees with benefits enrollment and answer questions regarding health, dental, vision, retirement, and other benefit programs.
Coordinate annual benefits open enrollment.
Reconcile monthly benefits invoices and allocate costs by department.
Generate monthly employee reports and assist in providing other ad-hoc reports, as requested.
Assist employees and supervisors with basic interpretation of HR policies and procedures.
Ensure HR Intranet page updated monthly with new hire data, service anniversaries and birthdays.
Perform HR Information Systems data entry and employee file maintenance.
Ensure compliance with federal, state and local employment laws and regulations, and company policies.
Assist with employment-related inquiries from applicants, employees, and supervisors, referring complex and/or sensitive matters to the appropriate staff.
Periodically attend training seminars to stay up to date on HR industry trends and employment law.
Assist with bi-weekly review of timesheets prior to payroll.
Assist HR and/or other departments with special projects as needed.
Assist with company Wellness Program and quarterly challenges and activities.
Assist with employee engagement events and activities.
Committed to Company Mission and Core Values.
The above represents general responsibilities for the position. Other duties, responsibilities, and qualifications may be required and/or assigned as necessary.
Skills and Abilities:
Excellent verbal and written communication skills
Excellent interpersonal skills
Excellent time management skills with a proven ability to meet deadlines
Strong organization skills and attention to detail
Ability to act with integrity, professionalism and confidentiality
Familiarity with laws, regulations and best practices applicable to hiring, recruitment and benefits
Proficiency with or the ability to quickly learn the Banks Human Resource Information System
Proficient with Microsoft Office Suite
Education and Experience:
Associates or Bachelors degree in Human Resources Management or other related business field preferred
Experience (1-2 years) in Human Resources, preferably in recruiting, onboarding and/or benefits administration
Physical Requirements and Working Conditions:
Prolonged periods sitting at a desk and working on a computer.
Must be able to lift up to 10 pounds at times.
Must be able to access and navigate each department at the organization
Professional office environment.",HR Assistant,Unknown,20.19,25.00,hour
https://www.indeed.com/viewjob?jk=67f3d00c2f81c8ff,HR Assistant -OPS Part-time,Part-time,,,$15 - $16 an hour,University of Florida,4.2,"341 Tigert Hall 300 SW 13th St, Gainesville, FL 32611",,"Administrative Support:
Assist with the day-to-day operations of the HR department, including scheduling meetings, preparing documents, and maintaining HR records.
Maintain employee records on the server and ensure data accuracy.
Monitor and respond to general inquiries received by phone, email and in-person communications
Process OPS hires and job edits for OPS personnel
Employee Relations:
Assist in organizing and facilitating employee engagement activities and events.
Benefits Administration:
Assist employees with benefits-related inquiries and coordinate with the assistant director of HR as needed.
Training and Development:
Help in coordinating training sessions and workshops, including logistics and materials preparation.
Track employee training records and certifications to ensure compliance and development.
Other Duties:
Assist with special projects and initiatives as assigned by the assistant director of HR.
Contribute to continuous improvement of HR processes and practices.

Expected Salary:
$15.00 - $ 16.00/ hourly


Minimum Requirements:
Associate’s degree in Human Resources, Business Administration, or a related field; or an equivalent combination of education and experience in human resources.

Preferred Qualifications:
1-2 years of experience in an HR support role or administrative position, preferably within a fast-paced environment.
Familiarity with HRIS systems.
Knowledge of HR policies, procedures, and labor laws.
Strong organizational and time management skills with the ability to handle multiple tasks and prioritize effectively.
Excellent communication skills, both written and verbal.
High level of confidentiality and professionalism.

Special Instructions to Applicants:
In order to be considered, you must upload your cover letter and resume.
Application must be submitted by 11:55 p.m. (ET) of the posting end date.


Health Assessment Required:
No",HR Assistant,Unknown,15,16,hour
https://www.indeed.com/viewjob?jk=dff1b8017b5d7e4f,HR Assistant,,,,,American Unit,,"2901 Dallas Pkwy Ste 333, Plano, TX 75093",,"Posted on: 08/27/2024
Job Role : HR assistant /IT recruiter
Location : Plano-Texas, United States
Responsibilities:
IT Recruiter will source to fill positions in a timely fashion within the designated areas of responsibility. Ideal candidates will have experience recruiting on Information Technology opportunities.
Maintain and assist with various administrative responsibilities and other projects as necessary.
Provide recruiting support to leaders and professionals.
Assist with day to day operations of the HR functions and duties like I9, New hire paperwork and Insurance ;
Provide clerical and administrative support to Human Resources executives
Compile and update employee records and contracts (hard and soft copies)
-Candidate should possess strong written and verbal communication skills and the ability to interact with all levels of professionals. -Must be self-motivated, able to work independently, but also as an integral part of a widely dispersed team that interacts virtually. -Flexibility, adaptability and ability to lead in a rapidly changing environment is crucial.
Significant experience utilizing creative resources and techniques to source candidates necessary.
Serving as a point of contact with vendors/administrators/clients.
Must be dependable, maintain confidentiality, able to follow instructions, respond to management direction, and must be able to improve performance through management feedback.
Coordinate HR projects (meetings, training, surveys etc) and take minutes
Deal with employee requests regarding human resources issues, rules, and regulations
Communicate with public services when necessary
Properly handle complaints and grievance procedures
Coordinate communication with candidates and schedule interviews
Conduct initial orientation to newly hired employees
Process documentation and prepare reports relating to personnel activities (staffing, recruitment, training, grievances, performance evaluations etc)
Addressing clients concerns and problems in a timely and effectively manner.
Visiting clients and other business development activities to improve relationship with clients and attain prospective clients.
Other tasks as assigned by management.Â
Effective listening and negotiation skills
Excellent time management skills
Proficient in use of Microsoft Programs
Technical expertise with an ability to understand and explain job requirements for IT roles.
Solid knowledge of sourcing techniques. (e.g. social media recruiting)Identifies and pursues cost-containment efforts in recruiting, continually seek new sourcing options, and develop creative approaches to delivering candidates to the customer.
Email resumes to jobs@americanunit.com or mail to American Unit Inc., 2901 N.Dallas Parkway Suite #333, Plano, TX 75093
.",HR Assistant,Unknown,,,
