url,job_title,job_type,work_mode,shift,salary,company_name,company_rating,location,benefits,description,title,level,start_salary,end_salary,salary_type
https://www.indeed.com/viewjob?jk=99db3fe620fc773f,System Administrator,,,,,Lucayan Technology Solutions,,"Honolulu, HI",,"OUR COMPANY REVOLVES AROUND MISSION-DRIVEN ENGINEERING

At Lucayan Technology Solutions LLC, we strive to solve our customer's hardest problems. Our highly focused customer-centric approach is crucial to our customer's success and ultimately ours. We aim to be a breath of fresh air: and be the most innovative organization in the Government contracting space. Sounds cliche? No worries the proof is in the pudding. To get there, we need exceptionally talented, bright, and driven people. Join us if you'd like to be a part of our journey. Right here, right now, this is your chance to make history and put a ding in the universe.

Lucayan Technology Solutions is hiring SYSTEM ADMINISTRATOR to support the Asia-Pacific Center for Security (APCSS) located in Honolulu, Hawaii.

Qualifications:
Minimum 3 years of experience in system administration
Experience with cloud platforms (e.g., AWS, Azure, Google Cloud), programming skills (e.g., Python, Java, Javascript), and DevOps practices
Must possess and maintain Microsoft Certified: Azure Fundamentals (AZ-900), Microsoft 365 Certified: Fundamentals (MS-900), or higher
Ability to design, develop and implement cloud solutions that enhance operational efficiency and security


Primary Duties:
Install, configure, and maintain physical and virtual servers, ensuring optimal performance and reliability.
Perform regular updates, patch management, and software upgrades to keep systems secure and up-to date.
Monitor server performance and resource utilization, addressing any issues promptly to prevent downtime.
Manage storage systems and solutions, including SAN, NAS, and cloud storage.
Ensure data integrity and availability through regular backups, snapshots, and replication. Implement storage optimization techniques to maximize performance and efficiency.
Create, modify, and delete user accounts and groups in Active Directory and other directory services.
Manage user permissions and access controls to ensure data security and compliance with policies.
Assist with multi-factor authentication (MFA) setup and maintenance for enhanced security.
Implement and enforce security policies and procedures to protect systems and data. Conduct regular security assessments and vulnerability scans to identify and mitigate risks.
Monitor and respond to security incidents, collaborating with cybersecurity teams as necessary.
Implement monitoring tools to continuously track system performance, health, and availability.
Perform routine maintenance tasks, such as disk cleanup, log management, and performance tuning.
Proactively identify and resolve potential issues before they impact system performance or availability.
Maintain detailed documentation of system configurations, changes, and procedures.
Generate regular reports on system performance, uptime, and security status.
Provide recommendations for system improvements and upgrades based on performance data and emerging technologies.
Provide technical support and guidance to other IT staff and end-users.
Collaborate with other IT teams and departments on projects and initiatives.
Participate in IT planning and strategy meetings to align system administration efforts with organizational goals.


Education: Bachelor’s degree

Clearance: Secret",System Administrator,Unknown,,,
https://www.indeed.com/viewjob?jk=c2de99a3c18afc63,System Administrator,Full-time,Hybrid work,Weekends as needed Monday to Friday,,Thornburg Investment Management,3.7,"Thornburg Investment Management in Santa Fe, NM 87506","401(k),401(k) matching,Commuter assistance,Dental insurance,Employee assistance program,Employee discount,Flexible schedule","Description:
Thornburg is a global investment firm delivering on strategy for institutions, financial professionals and investors worldwide. The privately held firm, founded in 1982, is an active, high-conviction manager of fixed income, equities, and multi-asset solutions.
As an independent firm, Thornburg can take on a wide range of opportunities, explore ideas thoroughly and work across strategies to deliver consistent risk-adjusted outperformance over the long term. The firm attracts free-thinking professionals who are eager to pursue investment outcomes beyond the confines of popular wisdom. From nimble operational capabilities to principles and actions fitting of a global citizen, Thornburg’s world-class investment platform and team are aligned on strategy to serve investors.
PRIMARY JOB FUNCTION:
The System Administrator will provide day-to-day administration and future enhancements for the company's IT system infrastructure and virtual platforms, ensuring uptime, server management, patch management, software deployment and systems upgrades, backups, monitoring, and advanced support.
This position qualifies for a hybrid work structure where you will work both on-site and off-site with most of the time on-site on an annual basis. Working from the office will be required 3 days per week.
DUTIES AND RESPONSIBILITIES:
Ensure system uptime and stability company wide.
Administrator AWS and Azure environments.
Patching and deployments.
Mobile Device Management administration.
Active directory administration and group policy management.
Troubleshoot, repair, and provide root cause analysis for any system issues.
Utilize system monitoring tools to proactively detect and correct system issues.
Manage Microsoft centric server environment.
Enforce security guidelines and corporate acceptable use practices.
Provide routine after-hours maintenance of all systems.
Job Benefits
Medical, dental, and vision coverage.
Employer 401(k) safe harbor and profit-sharing contributions.
Work/life programs such as flexible work arrangements, flexible paid time off, paid parental leave, employee assistance plan, commuter benefits, student loan repayment program, education reimbursement program.
Community involvement opportunities.
Onsite cafeteria.
Onsite fitness center.
Referral program.
Requirements:
Bachelor's degree in Computer Science, Information Systems, or a related field - preferred; however, equivalent experience and relevant certifications may be considered in place of education.
5+ years of experience administering AWS or Azure, managing software and patch deployments using MECM or similar, active directory GPO, DNS, DHCP, VMware vSphere, Microsoft Exchange Online, On-prem, and M365.
Background in technical knowledge of data centers, virtual infrastructure, network, hardware, storage, operating systems, server administration, and enterprise applications.
Microsoft Endpoint Configuration Manager patching and software deployment.
Virtual Desktop Infrastructure management.
SaaS environment support, including implementation of SSO, MFA, and other security controls.
Current Active Directory and DNS experience.
Excellent customer service, communication and presentation skills. Excellent customer service, communication, and presentation skills.
Strong problem-solving and troubleshooting skills.
Ability to work after-hours as needed for emergency support and scheduled maintenance.
Santa Fe is the capital of New Mexico. Founded in 1610 and nicknamed ""The City Different,"" Santa Fe captures hearts and minds with its museums, restaurants, theater, opera, and adobe-style architecture. With an average of over 300 sunny days per year and picturesque landscape, it's no wonder that outdoor activities such as skiing and hiking in ""The Land of Enchantment"" attract visitors from around the world.

All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, national origin, disability, gender, gender identity or protected veteran status. We especially encourage applications from individuals who can bring diverse cultural and ethnic perspectives and experiences to the campus.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Weekends as needed
Work Location: Hybrid remote",System Administrator,Unknown,,,
https://www.indeed.com/viewjob?jk=11493dbae7b05a73,System Administrator,Full-time,,,"$5,891 - $7,926 a month",Washington State University,4.2,"Pullman, WA 99164","Dental insurance,Disability insurance,Health insurance,Paid","System Administrator

Online applications must be received before 12:00am on:
September 30, 2024
If a date is not listed above, review the Applicant Instructions below for more details.

Available Title(s):
482SA-YN_CS_NPS - IT System Administration - Entry

Business Title:
System Administrator

Employee Type:
Classified

Position Details:

Summary of Duties:

In this position, you will be responsible for providing comprehensive administration and support for Information Technology Services across the enterprise. You will take on a broad range of duties, including the oversight of various university-wide services that cater to the needs of students, staff, alumni, affiliates, and the general public at all campus locations. You will indirectly impact services at Washington State University by serving as the system support for these services. In this position, you will be expected to contribute to the architecture of service solutions, uphold technical service standards, and address incidents and service requests. Additionally, you will support and administer services related to university and regional initiatives, working under supervision or assistance to maintain service levels and advance university objectives. Your primary focus will be on the support of Microsoft 365 services, Entra, and other Windows and cloud-based services.

Required Qualifications:
A degree in a related technology field. Any combination of relevant education and experience may be substituted for the educational requirement on a year-for-year basis.
Experience administering services in the Microsoft suite of products including; Microsoft 365 services, Entra, Active Directory, and Windows Server.

Preferred Qualifications:
In depth knowledge and understanding of Email technologies, Microsoft 365 services, Entra, Okta Identity, Proofpoint SaaS solutions, Windows Server, and Active Directory.
Working knowledge and understanding of Windows and MacOS operating systems Windows clients and troubleshooting.
Working knowledge and understanding of Certificate Services, Network Policy Server, System Center products, SQL Server, and IIS.
Working knowledge of common Windows and cloud-based programming and scripting tools such as PowerShell, C#, REST/SOAP, MS GraphAPI, JSON, etc.
Able to apply advanced knowledge of a wide range of principles, concepts and practices in the assigned area(s) gained through extensive experience and skill in applying this knowledge to work assignments.
Experience managing services in an enterprise environment.
Demonstrated ability to work individually.
Demonstrated ability to work as a member of a team.
Ability to convey technical information to a diverse audience through written and oral communication methods.

Additional Information:

Area/College:

Information Technology Services

Department Name:

Information Services

City, State, Zip:

Pullman, WA 99164

Department Link:

https://its.wsu.edu/

Monthly Salary:

$5,891 to $7,926 | Range 03IT (Steps A - M) | Successful candidates typically begin at the beginning of the salary range and receive scheduled salary increment increases in accordance with WAC 357-28.

Benefits:

WSU offers a comprehensive benefits package which includes: paid sick and vacation leave; paid holidays; medical, dental, life and disability insurance package for employees and dependents; retirement; deferred compensation and optional supplemental retirement accounts. For additional information, please review the summary of benefits offered by WSU for classified staff and Total Compensation.

Overtime Eligibility:

Overtime Eligible

FTE: 100%

This is a permanent position.

Background Check:

This position has been designated by the department to require a background check because it requires access to children or vulnerable adults as defined by RCW 74.34, engages in law enforcement, requires security clearance, interacts with WSU students in a counseling or advising capacity, has access to personal identifying and/or financial information, unsupervised access to university buildings/property, or other business-related need. A background check will not be completed until an initial determination of qualification for employment has been made.

Application Instructions:

Applicants must upload the following required documents to their online application. External candidates, please upload all documents in the ""Resume/CV"" section of your application. Internal candidates, please upload all documents in the ""Resume/Cover Letter"" section of your application. Documents may be submitted in one file or separate files. Applicants are encouraged to upload as a PDF if possible. Applicants will be requested to provide contact information for professional references within the online application. Application materials should clearly communicate how the applicant meets all required qualifications and additional requirements.

Required Documents:
Resume
Cover Letter

Time Type:
Full time

Position Term:
12 Month

WASHINGTON STATE UNIVERSITY IS AN EQUAL OPPORTUNITY/AFFIRMATIVE ACTION EDUCATOR AND EMPLOYER. Members of ethnic minorities, women, special disabled veterans, veterans of the Vietnam-era, recently separated veterans, and other protected veteran, persons of disability and/or persons age 40 and over are encouraged to apply.

WSU employs only U.S. citizens and lawfully authorized non-U.S. citizens. All new employees must show employment eligibility verification as required by the U.S. Citizenship and Immigration Services.

WSU is committed to providing access and reasonable accommodation in its services, programs, activities, education and employment for individuals with disabilities. To request disability accommodation in the application process, contact Human Resource Services: 509-335-4521 (v), Washington State TDD Relay Service: Voice Callers: 1-800-833-6384; TDD Callers: 1-800-833-6388, 509-335-1259(f), or hrs@wsu.edu.

Notice of Non-Discrimination

WSU prohibits sex discrimination in any education program or activity that it operates complaint with Title IX. Inquiries regarding Title IX and reports of sex discrimination can be directed to the WSU Title IX Coordinator. More information on WSU's policies and procedures to respond to discrimination and harassment are available here: Nondiscrimination statement.

To apply, visit https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/job/Pullman-WA/System-Administrator_R-12411

Washington State University is an Equal Opportunity/Affirmative Action Educator and Employer.

jeid-09ef2817afcd0d44b5aefa12738e372e",System Administrator,Unknown,5891,7926,month
https://www.indeed.com/viewjob?jk=9e15e05c75f631a9,System Administrator,,Remote,12 hour shift 5x8 Evening shift,,Tek Ninjas,,Texas,,"Position: System Administrator 100% remote Duration: 12 Months with EXT SHIFT
2nd shift hours = 3:00 PM - 11:00 PM (5X8); Tuesday through Saturday evenings The Systems Administrator is responsible for testing, implementing, maintaining, and supporting moderately complex components of the systems infrastructure and the associated tools. You will provide issue and problem resolution for moderately complex issues and perform disaster recovery exercises associated with Infrastructure Tools. You will collaborate with customers, business partners, and engineering teams to develop, implement, and support appropriate IT solutions.

Monitoring multiple ticket/change queues
Works on small to large, moderately complex assignments
Works with a team of system engineers to support solutions to meet business goals
Monitoring of system events providing initial service remediation efforts related to events generated on multi-platform applications
Troubleshoot hardware and software errors by running diagnostics, documenting problems and resolutions, and assessing the impact of issues
Implementation of change tasks, including patch deployments, software deployments, and application upgrades
Implementation of standard request fulfillment activities, including server builds, system adjustments and decommissioning activities
Serve as an internal escalation point within operations
Analysis and transition of tasks between teams within Platform Services
Utilize an interactive job submission application tool
Follows operational best practices and standard operating procedures for deployment, support, break-fix, and systems management
Creation and maintenance of documentation as it pertains to transitioned tasks
Create, document, and maintain global processes as they pertain to Platform Services
Make recommendations and implement improvements for the Platform Services department
Makes recommendations for new procedures and processes for the department
Normally receives minimal instruction on day-to-day work and general instructions on new assignments",System Administrator,Unknown,,,
https://www.indeed.com/viewjob?jk=acf1acb7a790ad5f,Associate System Administrator,Full-time,,,,Amentum,3.8,"McLean, VA 22102",,"Position Description

Legacy Job Code EN78

Title Associate System Administrator

Purpose/Scope

Maintain data files and control procedures for a system of networked computers or for a single group of microcomputers linked to a host workstation, or mainframe.

Responsibilities

~Responsible for system security and data integrity.

~Assign passwords and monitors use of resources, backs up files as required and responds to management requests for information.

~ Will be required to perform an annual and new project hardware inventory and update system status

Minimum Knowledge

Bachelor’s degree or equivalent in computer science, or related field, or equivalent experience, and 0 to 2 years of related experience. Position may require the ability to pass and maintain a Security Clearance.

Work Environment

Individual will perform most of his/her functions from the Network Administration Office where the network servers are located. Individual will be required to access all network workstations for software and configuration upgrades, troubleshooting, repair, and modifications. Occasionally, individual will also install, replace, or repair transmission media, requiring his/her access to internal wall and false ceiling wiring.

Amentum is proud to be an Equal Opportunity Employer. Our hiring practices provide equal opportunity for employment without regard to race, religion, color, sex, gender, national origin, age, United States military veteran’s status, ancestry, sexual orientation, marital status, family structure, medical condition including genetic characteristics or information, veteran status, or mental or physical disability so long as the essential functions of the job can be performed with or without reasonable accommodation, or any other protected category under federal, state, or local law.

Labor Law Posters

EEO including Disability/Protected Veterans",System Administrator,Unknown,,,
https://www.indeed.com/viewjob?jk=29400950cb866b89,Infastructure System Administrator,Full-time,Remote,,,Motorola Solutions,4.1,Indiana,"401(k) matching,Dental insurance,Employee stock purchase plan,Family leave,Health insurance,Paid holidays,Paid parental leave","Company Overview
At Motorola Solutions, we're guided by a shared purpose - helping people be their best in the moments that matter - and we live up to our purpose every day by solving for safer. Because people can only be their best when they not only feel safe, but are safe. We're solving for safer by building the best possible technologies across every part of our safety and security ecosystem. That's mission-critical communications devices and networks, AI-powered video security & access control and the ability to unite voice, video and data in a single command center view. We're solving for safer by connecting public safety agencies and enterprises, enabling the collaboration that's critical to connect those in need with those who can help. The work we do here matters.

Department Overview
The VSS Field Support team is dedicated to supporting public safety agencies worldwide. Our mission is to provide cutting-edge technology and innovative tools, empowering customers to make faster, smarter, and safer decisions. Join our collaborative team to administer a wide range of public safety software products, making a direct impact on community safety. Grow professionally, work with cutting-edge technology, and be at the forefront of the public safety sector. Together, we can empower agencies to respond effectively and safeguard communities.

Job Description
This position is for an onsite position at the City of Indianapolis: the applicant must live within commuting distance.
This position will be a full-time System Administrator within the Video and Software Services (VSS) PremierOne Field Services Team. VSS is dedicated to building collaborative partnerships with our clients, understanding their unique needs and fostering long-term success through the use of Motorola Solutions products and services to support and secure current and future agency requirements.
Responsibilities of the On-site System Administrator include but are not limited to:
Provides tailored technical customer operations support
Develops strategies for implementing operational efficiencies by reviewing workflows, procedures, and performance
Adheres to Motorola and the Customer’s Change management policies and procedures
Builds and maintains positive, effective, and mutually beneficial working alliances with customers
Initiates problem-solving action and follows through to resolution
Ensure that reported incidents/problems are documented, analyzed, validated, and escalated (when necessary) through full resolution.
Work with Customer staff to identify and resolve reported system incidents/problems.
Procure and coordinate any internal resources as needed
Monitor system(s) to determine any negative performance impacts, and engage appropriate resources when necessary.
Run diagnostics using approved MSI tools.
Assist with technical system requirements analysis.
Provide system performance reporting using approved MSI tools when requested.
Perform periodic system maintenance and software patching, in accordance with Motorola Solutions supplied guidelines, on physical and virtual servers covered within the scope of the Maintenance and Service Agreement.
Qualifications:
A minimum of a high school diploma or equivalent is required, a Bachelor's degree preferred
3+ years of IT and/or public safety experience (a combination can fulfill this requirement)
Computer Science, Networking, Engineering, System Maintenance experience (public safety system experience preferred)
Public Safety Applications experience involving CAD/RMS/Mobile, and other emergency 911 center equipment is greatly preferred
Proven track record working with or deploying enterprise hardware and software solutions; HP preferred
Experience creating positive working relationships with customers and application end users.
Able to function effectively in a fast-paced, demanding environment that regularly requires the ability to multitask.
Excellent verbal and written communication skills.
Comfortable working both alone and in a team environment.
Experience with Microsoft Windows Server and Desktop Operating Systems (MCSA/MCSE skills)
Experience with Microsoft SQL Server, ODBC and Ops Manager (SCOM)
Experience with Public Safety Applications including CAD, Mobile and RMS
Ability to troubleshoot application system issues including hardware, network and third-party components
This position is subject to working in high-security areas governed by the US Department of Justice's ""Criminal Justice Information Services (CJIS) Security Policy"" and therefore requires successfully passing a more stringent fingerprint background check administered by Motorola Solutions Inc. customers
#LI-JM2

Basic Requirements
Minimum of a High School Diploma
3+ years of Public Safety Applications experience or 3+ years of IT experience.
This position is subject to working in high-security areas governed by the US Department of Justice's ""Criminal Justice Information Services (CJIS) Security Policy"" and requires successfully passing a more stringent fingerprint background check administered by Motorola Solutions Inc. customers.
Legal authorization to work in the U.S. indefinitely is required. Employer work permit sponsorship is not available for this position.

Travel Requirements
25-50%

Relocation Provided
None

Position Type
Experienced

Referral Payment Plan
Yes
Our U.S. Benefits include:
Incentive Bonus Plans
Medical, Dental, Vision benefits
401K with Company Match
10 Paid Holidays
Generous Paid Time Off Packages
Employee Stock Purchase Plan
Paid Parental & Family Leave
and more!

EEO Statement
Motorola Solutions is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion or belief, sex, sexual orientation, gender identity, national origin, disability, veteran status or any other legally-protected characteristic.
We are proud of our people-first and community-focused culture, empowering every Motorolan to be their most authentic self and to do their best work to deliver on the promise of a safer world. If you’d like to join our team but feel that you don’t quite meet all of the preferred skills, we’d still love to hear why you think you’d be a great addition to our team.
We’re committed to providing an inclusive and accessible recruiting experience for candidates with disabilities, or other physical or mental health conditions. To request an accommodation, please email ohr@motorolasolutions.com.",System Administrator,Unknown,,,
https://www.indeed.com/viewjob?jk=4a3c84a26476ac95,Learning Management System Administrator,Full-time,,Day shift,$38.51 - $48.13 an hour,Salinas Valley Health,4.1,"Salinas, CA 93901",,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Department:
Education
Works under the supervision of the Director/Manager and is responsible for the creating, coordinating, managing and implementing educational material within the Learning Management System (LMS) for Salinas Valley Health. In addition, they are responsible for analyzing, maintaining, and presenting reports to measure, track, and manage program measures.
Configure, customize, and maintain the LMS to align with the organizations training and development needs.
Utilizes LMS data to analyze compliance, maintain reports, and share reports with different audiences.
Collaborates with LMS end users to gather feedback and ensure ongoing understanding, design needs, and identify areas for improvement.
Collaborates with Clinical Educators, Subject Matter Experts and Clinical Leadership to develop, update, and assign educational materials to appropriate end users, including but not limited to annual education, regulatory education, and specialty specific education on an ongoing basis.
Collaborates with Clinical Educators, Subject Matter Experts and Clinical Leadership to develop, update, and assign educational materials to support orientation needs on an ongoing basis.
Serves as a point of contact for LMS users for troubleshooting and escalating issues through the proper channels to achieve resolution.
Maintains LMS through routine audits to ensure quality and reliability of application. Provide training to administrators and users on LMS functionality.
Edit and upload videos for training purposes.
Develop and document Standard Operating Procedures and Policy Document for LMS processes.
Stay up to date with LMS enhancements and support adoption of new functionalities, and utilizes current functionality to its fullest extent.
Produce, analyze, and maintain reports to measure, track, and manage department and committee measures to include but not limited to QAPI, New Graduate Nurse Residency Program, and Educational Course data.
Present analytic findings to multiple audiences.
Research and support adoption and utilization of emerging technologies for data analysis.
Education: Bachelor's degree required. Degree in Computer Science, Informatics, Data Analytics, Business or related field preferred.
Experience: One year of experience in statistical analysis, data analysis, or a related skill required. One year of LMS experience preferred. Proficient in the Microsoft Office Suite and other reporting tools.
Essential Technical/Motor Skills: Precise hand/eye coordination and finger dexterity is necessary to operate office equipment and computer.
The hourly rate for this position is $38.51 - $48.13 The range displayed on this job posting reflects the target for new hire salaries for this position.
Job Specifications:
Union: Non-Affiliated
Work Shift: Day Shift
FTE: 1.0
Scheduled Hours: 40
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",System Administrator,Unknown,38.51,48.13,hour
https://www.indeed.com/viewjob?jk=91e80a8a6e7f50f9,Senior System Administrator,,,,,Houston Texans,4.4,Texas,,"The Houston Texans are in a season of growth and are seeking an individual for the position of Senior System Administrator.

Our Texans Teammate Habits:
Dedication to the team
Be adaptable
Passion for work
Win with integrity
Own the outcome

Culture: We attract the best and brightest professionals by nurturing core ideals such as character, hard work, discipline, and teamwork. We reward performances and demand a total commitment to excellence and a will to win in everything that we choose to do.

Basic Function: The Senior System Administrator is responsible for designing, implementing, maintaining, and optimizing the organization's IT infrastructure. This role involves managing servers, networks, virtualization platforms, and backup solutions to ensure system reliability, security, and performance. The Senior System Administrator troubleshoots technical issues, develops, and implements best practices, and collaborates with cross-functional teams to support business objectives. The ideal candidate possesses expertise in networking, operating systems, virtualization, backup, disaster recovery, strong problem-solving skills, and the ability to work independently and as part of a team.

Job Function (Duties & Responsibilities):
System Installation and Configuration: Deploy, configure, and maintain servers, network devices, and storage systems. This involves setting up operating systems, virtualization platforms, and necessary software applications according to organizational requirements.
Virtualization Management: Oversee virtualized environments such as VMware, Nutanix, and Azure. Provision virtual machines, manage resource allocation, and optimize performance to meet business needs. Implement virtualization best practices for scalability, reliability, and efficiency.
Backup and Disaster Recovery: Develop and maintain backup strategies and disaster recovery plans to safeguard critical data and ensure business continuity. Configure backup solutions such as Rubrik and Azure Backup, conduct regular backups, and test recovery procedures to minimize downtime in case of system failures or disasters.
Monitoring and Performance Tuning: Monitor system performance, availability, and security using monitoring tools and logs. Analyze performance metrics, identify bottlenecks, and implement optimizations to improve system efficiency and reliability.
Troubleshooting and Resolution: Diagnose and resolve technical issues related to hardware, software, network, and security. Perform root cause analysis, troubleshoot complex problems, and implement solutions to minimize impact on operations.
Windows Server Patch Management: Schedule, test, and deploy patches and updates across Windows Server environments and Lunix environments.
Documentation and Knowledge Share: Maintain documentation of system configurations, procedures, and troubleshooting guides. Knowledge share with team members, provide training, and contribute to development of standard operating procedures (SOPs).
Project Management and Collaboration: Participate in system-related projects from planning stage through implementation. Collaborate with cross-functional teams, provide updates to leadership.
Endpoint Management: This includes managing endpoints such as desktops, laptops, mobile devices (iOS and Android), and other devices connected to the network. Tasks may involve configuration, monitoring, security management, and troubleshooting of endpoints.
Application Packaging and Deployment: This involves packaging applications for deployment across the organization's infrastructure. Supported platforms may include SCCM (System Center Configuration Manager), Intune Endpoint Configuration Manager, JAMF (for macOS and iOS devices), and other Unified Endpoint Management (UEM) platforms. The administrator would handle deployment, updates, and troubleshooting of applications.
Perform various other tasks that may be assigned from time to time by the Director of IT Infrastructure.
Position requires routine face-to-face personal interaction with other Club personnel; therefore, job responsibilities must be physically performed in the Club offices and not in a telecommuting manner.

Skills Required:
Understanding of networking principles including TCP/IP, routing, switching, VLANs, VPNs, firewalls, and network security protocols (e.g., SSL/TLS, IPSec).
Proficiency in both Windows Server and Linux operating systems.
Hands-on experience with virtualization technologies such as VMware and Nutanix. Skills in resource optimization, capacity planning, and performance tuning are also important.
Experience with backup solutions such as Rubrik and cloud-based services like Azure Backup. Knowledge of disaster recovery planning, implementation, and testing. Ability to design and maintain robust backup and recovery strategies to ensure data integrity and business continuity.
Proficiency in monitoring tools for system performance, availability, and security (e.g., SCCM, What’s Up Gold, Azure Monitor).
Strong troubleshooting skills to diagnose and resolve complex issues efficiently.
Experience in scripting languages (e.g., PowerShell, Python) for automation of routine tasks, configuration management, and orchestration of workflows.
Strong documentation skills to maintaining system configurations, procedures, and troubleshooting guides.
Experience in deploying and managing endpoints across different platforms such as SCCM (System Center Configuration Manager), Intune Endpoint Configuration Manager, and JAMF.
Experience in packaging and deploying applications using UEM (Unified Endpoint Management) platforms.
Display strong interpersonal skills and the ability to develop and maintain solid working relationships.
Ability to participate in system-related projects from planning through implementation and maintenance, and documentation.
Ability to maintain attention to detail and work effectively under pressure and within deadlines.
Display strong interpersonal skills and the ability to create and maintain solid working relationships.
Ability and internal drive to demonstrate a winning attitude and a strong work ethic in the performance of all job responsibilities.

Education/Experience:
Bachelor’s degree from a four-year accredited college or university preferred.
High School Diploma required.
Minimum 5 years administering enterprise solutions required.
Relevant industry certifications (e.g., Microsoft Certified: Azure Administrator Associate, CompTIA Network+, CompTIA Security+, CCNA, MCSA, VCA) preferred.

Title: Senior System Administrator
FLSA Status: Exempt
Department: Information Technology
Reports to: Director of IT Infrastructure

Please note that while resumes of all candidates will be considered, as a way for the Texans organization to acknowledge and reciprocate the tremendous support given the Team by local fans and the local community in general, qualified candidates with permanent addresses in the Houston metropolitan and surrounding areas will be given first consideration whenever possible.
If your skills and experience match our available position requirements, a Human Resources representative will contact you directly. Due to the volume of resumes received by the Houston Texans, we are unable to provide updates on the status of individual applications.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, disability, gender identity, marital or veteran status, or any other protected class.",System Administrator,Senior,,,
https://www.indeed.com/viewjob?jk=cdf7b8d7acd01232,Windows System Administrator,,,,,L3Harris Technologies,4.0,"Palm Bay, FL",,"Job Title: Windows System Administrator
Job Code: 15484
Job Location: Palm Bay, FL
Job Schedule: 9/80: Employees work 9 out of every 14 days – totaling 80 hours worked – and have every other Friday off
Job Description:

We are seeking a detail-oriented and motivated Windows Administrator with foundational knowledge in managing and supporting Windows operating systems. In this role, you’ll be instrumental in providing end-user support and troubleshooting for Brevard County secured areas. Your responsibilities will include day-to-day maintenance, upgrading operating systems and applying patches, updating security tools, creating, and setting up user and service accounts. You’ll play a critical role in providing technical support and implementing best practices to optimize system performance. Have a willingness to be committed to continuous learning and contributing to a collaborative IT team. Be part of team that looks to ensure our technology keeps pace with industry advancements.

Essential Functions:

Install, configure, and maintain Windows desktop operating systems.
Utilize basic networking concepts such as IP addressing, DNS, DHCP, and subnetting. Ability to troubleshoot network connectivity issues.
Understanding of fundamental security practices, such as managing permissions and recognizing potential security threats.
Collaborate efforts with ISSOs to support audits, maintain STIG compliance, conduct risk assessments, and remediate Nessus/STIG scan findings.
System monitoring: Use of tools like Event Viewer, Task Manager, and Performance Monitor to monitor system health and performance.
Implement security patches, conducting system scans, remediating findings, and participating in audits to ensure system integrity.
Support critical operations during standard business hours and providing flexible support as needed outside standard hours.
Relocate Secure Area IT computing assets as required.
Travel up to 10%
Qualifications:

Bachelor's Degree and 2 years prior experience, 2 year post-secondary/AA Degree and 6 years prior experience. In lieu of a degree, minimum of 6 years of prior related experience.
Active US Secret Security Clearance
Ability within 6 months of hire to achieve Security+CE
Preferred Additional Skills:

Experience with Active Directory (AD)
Understanding Group Policy and applying Group Policy Objects (GPOs)
PowerShell Scripting
Experience with Linux operating systems",System Administrator,Unknown,,,
https://www.indeed.com/viewjob?jk=014fbd0e21dcf1a2,Windows System Administrator,Full-time,,,"$121,698.75 - $202,831.26 a year",M&T Bank,3.4,"Wilmington, DE",,"Overview:
As a Windows System Administrator, you will be responsible for maintaining and supporting our Windows-based environments, managing client-server applications, and contributing to our DevOps initiatives. This role requires a technical generalist with a strong operations background who can effectively communicate across teams and manage various IT tasks. You will be instrumental in the deployment and management of our infrastructure using tools like Git, Terraform, and Azure pipelines.
Primary Responsibilities:
Windows System Administration:
Manage, monitor, and support Windows server environments.
Perform regular system updates, patches, and backups.
Troubleshoot and resolve system and network issues.

Client-Server Application Support:
Provide support for client-server applications, ensuring high availability and performance.
Work closely with development teams to deploy, monitor, and maintain applications.

DevOps and Infrastructure Automation:
Design, implement, and manage CI/CD pipelines using Azure DevOps.
Automate infrastructure provisioning and management with Terraform.
Collaborate with development and operations teams to streamline deployments and improve system reliability.

Operations and Communication:
Work with cross-functional teams to ensure smooth IT operations.
Communicate effectively with stakeholders, providing regular updates on system status and project progress.
Contribute to the development and documentation of IT policies and procedures.
Education and Experience Required:
Combined minimum of 8 years’ higher education and/or work experience in systems design, management and/or architecture
Education and Experience Preferred:
Proficiency in DevOps practices, including CI/CD pipeline creation and management
Hands-on experience with Terraform for infrastructure automation
M&T Bank is committed to fair, competitive, and market-informed pay for our employees. The pay range for this position is $121,698.75 - $202,831.26 Annual (USD). The successful candidate’s particular combination of knowledge, skills, and experience will inform their specific compensation.
Location
Wilmington, Delaware, United States of America",System Administrator,Unknown,121698.75,202831.26,year
